country,country_code,year,macro_attractiveness_score,gdp_growth_pct,inflation_pct,inflation_volatility_3y,unemployment_pct,trade_pct_gdp,fdi_inflows_pct_gdp,ticker,asset_name,latest_market_date,market_window_start,market_window_days,ann_return_3y,ann_volatility_3y,sharpe_3y,max_drawdown_3y,momentum_12m,macro_rank,return_rank,sharpe_rank,low_volatility_rank,low_drawdown_rank,momentum_rank,macro_financial_score
Japan,JPN,2024,56.42857142857143,0.104309021773304,2.73853681635241,0.3941314470882237,2.5,46.4069516150859,0.401239653950032,EWJ,iShares MSCI Japan ETF,2026-04-10,2023-04-10,754,0.18670594228846982,0.18662191835512743,0.7609022123928172,-0.14676188289567482,0.43518527434152565,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.42857142857142855,0.8571428571428571,0.8571428571428571,74.28571428571429
United States,USA,2024,46.428571428571416,2.79300127716779,2.94952520485207,2.645802330590653,4.022,25.3786342507088,1.03321085618604,SPY,SPDR S&P 500 ETF Trust,2026-04-10,2023-04-10,754,0.1995982718396927,0.15185243015614286,0.9740813722732514,-0.18755225458981695,0.3100937826206176,0.42857142857142855,1.0,1.0,0.7142857142857143,0.5714285714285714,0.5714285714285714,68.57142857142857
Viet Nam,VNM,2024,100.0,7.09118746633975,3.62109273885843,0.2451872587459338,1.602,173.862024782965,4.23394171325231,VNM,VanEck Vietnam ETF,2026-04-10,2023-04-10,754,0.16093784385490828,0.2564054547682456,0.5322775940847888,-0.3160025496024531,0.6125273661183164,1.0,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.14285714285714285,1.0,67.14285714285712
United Kingdom,GBR,2024,41.42857142857143,1.1264226705118,3.2715729463592,2.42579041314563,4.361,62.8401605267118,-0.351465690300773,EWU,iShares MSCI United Kingdom ETF,2026-04-10,2023-04-10,754,0.17665757494531298,0.14154481940713257,0.8968191193968719,-0.12634904142033843,0.43021719119048574,0.14285714285714285,0.7142857142857143,0.8571428571428571,0.8571428571428571,1.0,0.7142857142857143,57.857142857142854
Germany,DEU,2024,50.71428571428571,-0.495851897260366,2.2564981433876,2.44204618136399,3.4,79.0907305894936,1.01586176558023,EWG,iShares MSCI Germany ETF,2026-04-10,2023-04-10,754,0.15946881685625436,0.17194017929534922,0.6799514546567479,-0.15805561409494728,0.18133482334558582,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.2857142857142857,52.85714285714286
India,IND,2024,62.14285714285713,6.49476552383821,4.95303550973656,0.8789527984493932,4.173,44.6492935069676,0.694133152879562,INDA,iShares MSCI India ETF,2026-04-10,2023-04-10,754,0.07655416699759265,0.1390569189411091,0.26861095350570874,-0.22721965084828621,-0.023357092131507384,0.8571428571428571,0.14285714285714285,0.2857142857142857,1.0,0.42857142857142855,0.14285714285714285,52.85714285714285
China,CHN,2024,42.857142857142854,4.9773565917572,0.218128938439177,1.0087190186541866,4.59,37.1984201388065,0.0989988051182737,MCHI,iShares MSCI China ETF,2026-04-10,2023-04-10,754,0.07723712552158735,0.2738180692824186,0.23570182556069427,-0.258480074652661,0.21823482746651113,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.42857142857142855,26.42857142857143
