country_code,country,year,fdi_inflows_pct_gdp,gdp_growth_pct,inflation_pct,trade_pct_gdp,unemployment_pct,inflation_volatility_3y,growth_rank,trade_rank,fdi_rank,low_unemployment_rank,low_inflation_volatility_rank,macro_attractiveness_score
CHN,China,2014,2.51155883670463,7.46190028229434,1.9216416278852,44.0684564812532,4.63,,1.0,0.42857142857142855,0.8571428571428571,0.7142857142857143,,77.3109243697479
CHN,China,2015,2.14957284731563,6.97878002657477,1.43702380935654,38.6971848362625,4.65,0.3426765457654472,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.5714285714285714,0.8571428571428571,65.0
CHN,China,2016,1.52539470315394,6.77555562837017,2.00000182191943,36.177170692978,4.56,0.30494234227523,0.8571428571428571,0.42857142857142855,0.2857142857142857,0.5714285714285714,0.8571428571428571,62.857142857142854
CHN,China,2017,1.32468971748482,6.8912663621211,1.59313600071435,36.95085261586,4.47,0.2906472820518263,0.8571428571428571,0.42857142857142855,0.2857142857142857,0.42857142857142855,1.0,62.142857142857146
CHN,China,2018,1.66361992284408,6.75671800166833,2.07479039965576,36.8943843914718,4.31,0.2592052236627437,0.8571428571428571,0.42857142857142855,0.7142857142857143,0.2857142857142857,1.0,65.71428571428571
CHN,China,2019,1.28549226847992,6.06850235053705,2.89923416358226,35.1994202738836,4.56,0.660503708158129,0.8571428571428571,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.14285714285714285,45.714285714285715
CHN,China,2020,1.68770756292082,2.34018843078414,2.41942189457782,34.0389507864581,5.0,0.41406485012549527,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8571428571428571,62.142857142857146
CHN,China,2021,1.8903454142588,8.57008513166322,0.981015135544881,36.5206911762676,4.55,0.9982316078482237,0.8571428571428571,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.5714285714285714,57.857142857142854
CHN,China,2022,1.03841365474349,3.1341888719577,1.9735755573905,37.440719876366,4.98,0.7363161856871621,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.14285714285714285,1.0,42.85714285714285
CHN,China,2023,0.280991103634816,5.41484330099675,0.23483682889305,36.1051923691138,4.67,0.8722739078895158,0.8571428571428571,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.7142857142857143,47.14285714285714
CHN,China,2024,0.0989988051182737,4.9773565917572,0.218128938439177,37.1984201388065,4.59,1.0087190186541866,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.5714285714285714,42.857142857142854
DEU,Germany,2014,0.437762571704246,2.18018602168017,0.906794000434245,76.8483516336234,4.979,,0.2857142857142857,0.8571428571428571,0.2857142857142857,0.5714285714285714,,48.73949579831932
DEU,Germany,2015,1.82239938063641,1.66300602334775,0.514426137125456,77.7565815686922,4.612,0.27744597686532096,0.2857142857142857,0.8571428571428571,0.42857142857142855,0.7142857142857143,1.0,61.42857142857143
DEU,Germany,2016,1.64365840117303,2.22222216259371,0.491747008445174,76.0059902166055,4.104,0.2333562686088866,0.5714285714285714,0.8571428571428571,0.42857142857142855,0.7142857142857143,1.0,70.0
DEU,Germany,2017,2.88914588414184,2.797906720551,1.50949485109628,77.4548394742448,3.781,0.5811607292912789,0.42857142857142855,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.7142857142857143,65.71428571428571
DEU,Germany,2018,4.00082875273687,1.13569604599849,1.73216879766941,79.1252260463654,3.384,0.6613169402646119,0.2857142857142857,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.42857142857142855,59.285714285714285
DEU,Germany,2019,1.9056930139782,0.977734697038784,1.44565976888253,79.0732427175683,3.163,0.15041388886452187,0.2857142857142857,0.8571428571428571,0.8571428571428571,0.7142857142857143,1.0,67.85714285714286
DEU,Germany,2020,4.48523547812751,-4.13191443239947,0.144877925813981,72.9335327120137,3.881,0.845932733605218,0.5714285714285714,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.2857142857142857,63.57142857142857
DEU,Germany,2021,2.93002168676674,3.90999994204108,3.06666666666673,79.9195348609851,3.594,1.463816143515222,0.42857142857142855,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.2857142857142857,59.285714285714285
DEU,Germany,2022,2.07605246190373,1.8092581243061,6.87257438551096,88.7857542130501,3.137,3.3735165298827092,0.2857142857142857,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.42857142857142855,57.14285714285714
DEU,Germany,2023,1.69740103499567,-0.869647578573321,5.94643667725823,81.9625483787634,3.071,1.9847644668368034,0.14285714285714285,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.42857142857142855,55.00000000000001
DEU,Germany,2024,1.01586176558023,-0.495851897260366,2.2564981433876,79.0907305894936,3.4,2.44204618136399,0.14285714285714285,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.2857142857142857,50.71428571428571
GBR,United Kingdom,2014,1.90870445734316,3.16017351468152,1.45112016293279,58.8210228333296,6.398,,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.2857142857142857,,56.30252100840336
