date,CHN (MCHI),DEU (EWG),GBR (EWU),IND (INDA),JPN (EWJ),USA (SPY),VNM (VNM)
2019-02-28,0.023604666558260323,0.01903678875744763,0.03429654225304901,-0.0033535483581672576,0.0014739316167180494,0.03241591470769278,0.05303042218177034
2019-03-31,0.028331420948143338,-0.013919425604585478,0.013509231171562108,0.07831143999833245,0.00662260325204822,0.0181006908658774,-0.007194410465020673
2019-04-30,0.017459712488297363,0.0698365811650139,0.022720490779988944,0.0073757289039515506,0.012792220839364266,0.04085211985098591,0.006642593499820437
2019-05-31,-0.12893577111039767,-0.0652778026051084,-0.06131502742801265,0.013235805483443608,-0.048718793856412534,-0.06377123706914334,-0.02879416332985163
2019-06-30,0.08133774298322693,0.07050769225066356,0.04596470361182847,-0.009968225235585604,0.04470254867167944,0.06958654297897171,-0.010500348783567537
2019-07-31,-0.016484542628039223,-0.043850194994249025,-0.024133684853406168,-0.06515565289725822,-0.0042142491786874015,0.015119658801176383,0.00998766029023579
2019-08-31,-0.035060610977665996,-0.02125281593864503,-0.038046982950067365,-0.024848699028423682,-0.007911498138032158,-0.016743501320727883,-0.03090244042529522
2019-09-30,-0.006026239225912722,0.025142924995145588,0.035926232745501885,0.043194622349162826,0.05229949639035758,0.019457755839113577,0.040178673557037525
2019-10-31,0.042617584486332794,0.06094372430808237,0.03499848866280697,0.03217173318700772,0.0341911095285059,0.022104646587090215,-0.0055181186563788565
2019-11-30,0.0203523074575247,0.013660332442943401,0.012296484228979221,-0.005483659882975167,0.012781369803747111,0.03619840419729603,-0.017262759345612944
2019-12-31,0.08427461570737105,0.015894785338780748,0.054045160269496684,0.02098069201401742,0.008695375509396364,0.029055350123284196,0.010832871695451995
2020-01-31,-0.06210020878284117,-0.029591675839481524,-0.04281532659782228,-0.018776755289152236,-0.02515203278854128,-0.0004038058598538896,-0.06879300360677609
2020-02-29,0.033605076671012535,-0.08096754405756379,-0.1023284501886782,-0.0666860429510685,-0.08294365385601665,-0.07916577705956451,-0.07723304254162688
2020-03-31,-0.07854497232133784,-0.18077789756255058,-0.18498307497833466,-0.2510096260128526,-0.06740940683590713,-0.12487133226506608,-0.24017470248470296
2020-04-30,0.04768552486314048,0.09776524313543011,0.057370311767820814,0.12194107451156966,0.04798544402316973,0.12698353919827476,0.1925287395853088
2020-05-31,0.01700589324565449,0.09372353279903778,0.019009896797854697,0.01626619826276743,0.07051780856569212,0.04764535040536,0.10040167128610222
2020-06-30,0.07695325048370871,0.06227290709898514,0.016467208880207584,0.0585052443798566,-0.0009777917313831264,0.017734202848874725,-0.018978140887409012
2020-07-31,0.09258955602716434,0.042050749170381874,0.006599341653531043,0.10062018195226985,-0.010742788386637447,0.058892402349612016,0.01934527830457955
2020-08-31,0.05789397723692935,0.06548683925644116,0.0273813433573864,0.04477143811805662,0.06791818654492854,0.06979690177341591,0.07299272860533668
2020-09-30,-0.01956386061270543,-0.03222601551225168,-0.043168230136445995,0.014683944011312677,0.018097252454817303,-0.037443665455602515,0.010204123647308716
2020-10-31,0.04786297661418604,-0.09783716090811945,-0.04511552270502628,-0.007974194422267877,-0.014051051103776024,-0.024933626820083044,-0.007407469837186542
2020-11-30,0.026891709088221916,0.16286140129554982,0.16105168498701228,0.0860375719195392,0.10559730867372497,0.10877697360116767,0.08276792181898274
2020-12-31,0.022291474568379543,0.05277943016245601,0.04829729077144562,0.10343842257839353,0.05335207895765426,0.03704799891904731,0.10043342355759544
2021-01-31,0.08089407750558641,-0.009757636000450876,-0.0023899632650855596,-0.026852134658232774,-0.00843705773603276,-0.010190134298113995,-0.03258990377701532
2021-02-28,-0.004684654316232106,0.017482476486928356,0.03935667776600771,0.048288051252900255,0.018361129325497272,0.02780520632205241,0.040189019668174675
2021-03-31,-0.062105420746351836,0.04467361176954432,0.030951540858477955,0.028028225028598808,0.0043973534737629105,0.04539948047112685,0.028409015713066754
2021-04-30,0.003427353353508522,0.035287118376597926,0.03896517043662184,-0.02750107550204084,-0.016053666717257387,0.05291031463409035,0.041436639652873586
2021-05-31,-0.0017078233626250938,0.03350666591150264,0.03873359929097031,0.0794734611156267,0.017205651563529267,0.006566175165968913,0.04403178969891486
2021-06-30,0.009527700078063583,-0.016552283686670832,-0.015850659220489782,0.0002530807536809121,-0.007902659252464361,0.022427463518519097,0.056402554399979765
2021-07-31,-0.1354925798211084,-0.0023118795593690677,0.0027521705437245636,0.009943446043305215,-0.006366653979963832,0.024412465721730392,-0.059644060920410524
2021-08-31,-0.006734775888201705,0.012456476158384966,0.0067093345338971044,0.08749154109458801,0.01922234395252098,0.02975981768808511,0.010230003949529776
2021-09-30,-0.04605180167432976,-0.058083107022653735,-0.023023331256040946,0.0018518932022677514,0.02704667448699838,-0.04660523422306162,-0.02430377887278312
2021-10-31,0.025322155103935096,0.025820326996824905,0.044341007469116844,0.0030807833886312697,-0.02633441610675391,0.07016350592927156,0.05345096009653938
